date,bc
1/2/2017,211.69243
1/3/2017,215.11882
1/4/2017,226.99956
1/5/2017,200.99282
1/6/2017,298.34259
1/7/2017,501.54385
1/9/2017,303.86304
1/10/2017,277.40984
1/12/2017,432.26431
1/13/2017,353.63336
1/14/2017,221.16599
1/16/2017,1174.63714
1/17/2017,880.20498
1/18/2017,779.87658
1/19/2017,277.87565
1/20/2017,680.83944
1/21/2017,288.27525
1/23/2017,237.32074
1/24/2017,107.60328
1/25/2017,81.24374
1/26/2017,214.77175
1/27/2017,260.29794
1/28/2017,262.12352
1/30/2017,357.79834
1/31/2017,229.7602
2/1/2017,233.72192
2/2/2017,234.04626
2/3/2017,144.12306
2/4/2017,244.3314
2/6/2017,354.10466
2/7/2017,474.50601
2/8/2017,468.83455
2/9/2017,172.90004
2/10/2017,181.51656
2/11/2017,997.59388
2/13/2017,415.32347
2/14/2017,205.01906
2/15/2017,236.79286
2/16/2017,667.53492
2/17/2017,587.20344
2/18/2017,628.80699
2/20/2017,925.30011
2/21/2017,618.82547
2/22/2017,297.51154
2/23/2017,579.60477
2/24/2017,856.85774
2/25/2017,760.64921
2/27/2017,828.03306
2/28/2017,619.93049
